Slot,Feet,Tank,Feet_Fit,Tank_Fit,Feet_Final,Tank_Final
16,,,4.270344827586192,7.189655172413789,4.270344827586192,7.189655172413789
17,,,4.153563218390793,7.026436781609193,4.153563218390793,7.026436781609193
18,,,4.0655172413793,6.8344827586206875,4.0655172413793,6.8344827586206875
19,4.0,6.5,4.006206896551716,6.613793103448275,4.0,6.5
20,4.0,6.5,3.975632183908039,6.364367816091954,4.0,6.5
21,,,3.973793103448271,6.086206896551724,3.973793103448271,6.086206896551724
22,,,4.000689655172409,5.779310344827586,4.000689655172409,5.779310344827586
23,4.0,5.5,4.056321839080456,5.44367816091954,4.0,5.5
24,,,4.140689655172411,5.079310344827585,4.140689655172411,5.079310344827585
25,,,4.253793103448272,4.686206896551721,4.253793103448272,4.686206896551721
26,4.5,4.0,4.395632183908042,4.2643678160919505,4.5,4.0
27,4.5,4.0,4.566206896551718,3.813793103448271,4.5,4.0
28,,,4.765517241379303,3.334482758620683,4.765517241379303,3.334482758620683
29,,,4.993563218390795,2.8264367816091873,4.993563218390795,2.8264367816091873
30,,,5.250344827586196,2.289655172413783,5.250344827586196,2.289655172413783
